,Dates,Team 1,Team 2,Match Links
0,"Wednesday, July 10 2024",Dsyre Esports,Macko Esports,https://www.strafe.com/match/macko-esports-vs-dsyre-esports-playoffs-playoffs-summer-2024-8556d9/
1,0,Team du Sud,BDS Academy,https://www.strafe.com/match/team-du-sud-vs-bds-academy-regular-season-regular-season-summer-2024-b3bc89/
2,0,Movistar R7,Six Karma,https://www.strafe.com/match/six-karma-vs-movistar-r7-regular-season-regular-season-closing-2024-4f040a/
3,0,Infinity Esports,Estral Esports,https://www.strafe.com/match/infinity-esports-vs-estral-esports-regular-season-regular-season-closing-2024-a1b5cf/
4,0,Isurus,Leviatan Esports,https://www.strafe.com/match/leviatan-esports-vs-isurus-regular-season-regular-season-closing-2024-cc70c9/
5,0,Gen.G Global Academy,KT Rolster Challengers,https://www.strafe.com/match/kt-rolster-challengers-vs-gen-g-global-academy-regular-season-regular-season-summer-2024-937ddb/
6,0,BRION Challengers,Hanwha Life Esports Challengers,https://www.strafe.com/match/hanwha-life-esports-challengers-vs-brion-challengers-regular-season-regular-season-summer-2024-acf3c3/
7,0,FearX Youth,Nongshim Esports Academy,https://www.strafe.com/match/nongshim-esports-academy-vs-fearx-youth-regular-season-regular-season-summer-2024-df79f7/
8,"Thursday, July 11 2024",Dplus KIA,DRX,https://www.strafe.com/match/dplus-kia-vs-drx-regular-season-regular-season-summer-2024-54b237/
9,0,Ultra Prime,Rare Atom,https://www.strafe.com/match/ultra-prime-vs-rare-atom-group-nirvana-group-nirvana-summer-2024-f050aa/
10,0,Kwangdong Freecs,Gen.G,https://www.strafe.com/match/kwangdong-freecs-vs-gen-g-regular-season-regular-season-summer-2024-b5d8c9/
11,0,Anyone's Legend,Ninjas in Pyjamas,https://www.strafe.com/match/ninjas-in-pyjamas-vs-anyone-s-legend-group-ascend-group-ascend-summer-2024-3251c5/
12,0,GIANTX Academy,UCAM Esports Club,https://www.strafe.com/match/ucam-esports-club-vs-giantx-academy-regular-season-regular-season-summer-2024-0a095e/
13,0,Team GO,Team du Sud,https://www.strafe.com/match/team-du-sud-vs-team-go-regular-season-regular-season-summer-2024-44bd19/
14,0,NASR eSports Turkey,Beşiktaş Esports,https://www.strafe.com/match/besiktas-esports-vs-nasr-esports-turkey-regular-season-regular-season-summer-2024-8e4df3/
15,0,Team Refuse,Anorthosis Famagusta Esports,https://www.strafe.com/match/anorthosis-famagusta-esports-vs-team-refuse-playoffs-playoffs-summer-2024-a6d540/
16,0,BeFive,Partizan Esports,https://www.strafe.com/match/partizan-esports-vs-befive-playoffs-playoffs-summer-2024-eed318/
17,0,BK ROG Esports,BDS Academy,https://www.strafe.com/match/bk-rog-esports-vs-bds-academy-regular-season-regular-season-summer-2024-5165f1/
18,0,Galakticos,Misa Esports,https://www.strafe.com/match/misa-esports-vs-galakticos-regular-season-regular-season-summer-2024-95e0e8/
19,0,EKO Academy,Atleta Esport,https://www.strafe.com/match/eko-academy-vs-atleta-esport-playoffs-playoffs-summer-2024-9dc4c5/
20,0,Once Upon A Team,Myth Esports,https://www.strafe.com/match/once-upon-a-team-vs-myth-esports-regular-season-regular-season-summer-2024-bd2090/
21,0,Guasones,ZETA,https://www.strafe.com/match/zeta-vs-guasones-regular-season-regular-season-summer-2024-dd161f/
22,0,Ramboot Club,Movistar KOI,https://www.strafe.com/match/movistar-koi-vs-ramboot-club-regular-season-regular-season-summer-2024-00081d/
23,0,Papara SuperMassive,Dark Passage,https://www.strafe.com/match/dark-passage-vs-papara-supermassive-regular-season-regular-season-summer-2024-2b8450/
24,0,Twisted Minds,Nigma Galaxy,https://www.strafe.com/match/nigma-galaxy-vs-twisted-minds-playoffs-playoffs-summer-2024-6f6a90/
25,0,Gentle Mates,Karmine Corp Blue,https://www.strafe.com/match/gentle-mates-vs-karmine-corp-blue-regular-season-regular-season-summer-2024-813c35/
26,0,White Dragons,GTZ Esports,https://www.strafe.com/match/gtz-esports-vs-white-dragons-playoffs-playoffs-summer-2024-aa7d2b/
27,0,ZennIT,A One Man Army,https://www.strafe.com/match/zennit-vs-a-one-man-army-regular-season-regular-season-summer-2024-b221cb/
28,0,Dynasty,KRC Genk Esports,https://www.strafe.com/match/krc-genk-esports-vs-dynasty-regular-season-regular-season-summer-2024-6fb0df/
29,0,LUA Gaming,Team Heretics Academy,https://www.strafe.com/match/lua-gaming-vs-team-heretics-academy-regular-season-regular-season-summer-2024-b11c26/
30,0,Solary,GameWard,https://www.strafe.com/match/gameward-vs-solary-regular-season-regular-season-summer-2024-e745b5/
31,0,BoostGate Esports,FUT Esports,https://www.strafe.com/match/boostgate-esports-vs-fut-esports-regular-season-regular-season-summer-2024-edd217/
32,0,Vitality.Bee,Aegis,https://www.strafe.com/match/vitality-bee-vs-aegis-regular-season-regular-season-summer-2024-546d3f/
33,0,Barça eSports,Rebels Gaming,https://www.strafe.com/match/rebels-gaming-vs-barca-esports-regular-season-regular-season-summer-2024-8c07b5/
34,0,mCon esports,SNOOZE esports,https://www.strafe.com/match/snooze-esports-vs-mcon-esports-regular-season-regular-season-summer-2024-94b778/
35,0,A One Man Army,mCon esports,https://www.strafe.com/match/mcon-esports-vs-a-one-man-army-regular-season-regular-season-summer-2024-5d3519/
36,0,Dplus KIA Challengers,T1 Academy,https://www.strafe.com/match/dplus-kia-challengers-vs-t1-academy-regular-season-regular-season-summer-2024-1adbef/
